layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.52014804
input_transformers.layers.0.ffn.gate,1,0.47985196
input_transformers.layers.1.ffn.gate,0,0.8796445
input_transformers.layers.1.ffn.gate,1,0.12035542
input_transformers.layers.2.ffn.gate,0,0.6357432
input_transformers.layers.2.ffn.gate,1,0.36425683
input_transformers.layers.3.ffn.gate,0,0.70811564
input_transformers.layers.3.ffn.gate,1,0.29188436
input_transformers.layers.4.ffn.gate,0,0.10500616
input_transformers.layers.4.ffn.gate,1,0.89499384
input_transformers.layers.5.ffn.gate,0,0.083416745
input_transformers.layers.5.ffn.gate,1,0.91658324
input_transformers.layers.6.ffn.gate,0,0.0
input_transformers.layers.6.ffn.gate,1,1.0
input_transformers.layers.7.ffn.gate,0,0.1161629
input_transformers.layers.7.ffn.gate,1,0.88383704
input_transformers.layers.8.ffn.gate,0,0.9159863
input_transformers.layers.8.ffn.gate,1,0.08401364
input_transformers.layers.9.ffn.gate,0,1.0
input_transformers.layers.9.ffn.gate,1,0.0
input_transformers.layers.10.ffn.gate,0,0.081514455
input_transformers.layers.10.ffn.gate,1,0.9184855
input_transformers.layers.11.ffn.gate,0,0.002676182
input_transformers.layers.11.ffn.gate,1,0.9973238
