train_step,log_step_index,expert_0,expert_1
0,0,0.390625,0.609375
100,1,0.0781893,0.9218107
200,2,0.06666667,0.93333334
300,3,0.23046875,0.76953125
400,4,0.0781893,0.9218107
500,5,0.28515625,0.71484375
600,6,0.8125,0.1875
700,7,0.08571429,0.9142857
800,8,0.875,0.125
900,9,0.9218107,0.0781893
1000,10,0.91803277,0.08196721
1100,11,0.91803277,0.08196721
1200,12,0.9142857,0.08571429
1300,13,0.9142857,0.08571429
1400,14,0.91803277,0.08196721
1500,15,0.91803277,0.08196721
1600,16,0.91803277,0.08196721
1700,17,0.91803277,0.08196721
1800,18,0.91803277,0.08196721
