layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.14962232
input_transformers.layers.0.ffn.gate,1,0.08033501
input_transformers.layers.0.ffn.gate,2,0.051809724
input_transformers.layers.0.ffn.gate,3,0.1393619
input_transformers.layers.0.ffn.gate,4,0.16654243
input_transformers.layers.0.ffn.gate,5,0.17289875
input_transformers.layers.0.ffn.gate,6,0.11371039
input_transformers.layers.0.ffn.gate,7,0.12571947
input_transformers.layers.1.ffn.gate,0,0.242116
input_transformers.layers.1.ffn.gate,1,0.20942476
input_transformers.layers.1.ffn.gate,2,0.029604439
input_transformers.layers.1.ffn.gate,3,0.16763869
input_transformers.layers.1.ffn.gate,4,0.08979193
input_transformers.layers.1.ffn.gate,5,0.05149119
input_transformers.layers.1.ffn.gate,6,0.1352688
input_transformers.layers.1.ffn.gate,7,0.074664176
input_transformers.layers.2.ffn.gate,0,0.0949445
input_transformers.layers.2.ffn.gate,1,0.11618792
input_transformers.layers.2.ffn.gate,2,0.1686788
input_transformers.layers.2.ffn.gate,3,0.17606619
input_transformers.layers.2.ffn.gate,4,0.1492089
input_transformers.layers.2.ffn.gate,5,0.07812326
input_transformers.layers.2.ffn.gate,6,0.085986316
input_transformers.layers.2.ffn.gate,7,0.1308041
input_transformers.layers.3.ffn.gate,0,0.13157836
input_transformers.layers.3.ffn.gate,1,0.0627748
input_transformers.layers.3.ffn.gate,2,0.1415103
input_transformers.layers.3.ffn.gate,3,0.16960293
input_transformers.layers.3.ffn.gate,4,0.12201188
input_transformers.layers.3.ffn.gate,5,0.046468347
input_transformers.layers.3.ffn.gate,6,0.20857085
input_transformers.layers.3.ffn.gate,7,0.117482565
input_transformers.layers.4.ffn.gate,0,0.11510935
input_transformers.layers.4.ffn.gate,1,0.040439345
input_transformers.layers.4.ffn.gate,2,0.22307807
input_transformers.layers.4.ffn.gate,3,0.14108366
input_transformers.layers.4.ffn.gate,4,0.1468377
input_transformers.layers.4.ffn.gate,5,0.14574888
input_transformers.layers.4.ffn.gate,6,0.13634706
input_transformers.layers.4.ffn.gate,7,0.05135596
input_transformers.layers.5.ffn.gate,0,0.23226185
input_transformers.layers.5.ffn.gate,1,0.065642744
input_transformers.layers.5.ffn.gate,2,0.1798262
input_transformers.layers.5.ffn.gate,3,0.10691427
input_transformers.layers.5.ffn.gate,4,0.07945945
input_transformers.layers.5.ffn.gate,5,0.08702143
input_transformers.layers.5.ffn.gate,6,0.16954619
input_transformers.layers.5.ffn.gate,7,0.07932787
input_transformers.layers.6.ffn.gate,0,0.12643914
input_transformers.layers.6.ffn.gate,1,0.07219599
input_transformers.layers.6.ffn.gate,2,0.10966203
input_transformers.layers.6.ffn.gate,3,0.067004606
input_transformers.layers.6.ffn.gate,4,0.2446012
input_transformers.layers.6.ffn.gate,5,0.10316072
input_transformers.layers.6.ffn.gate,6,0.055127848
input_transformers.layers.6.ffn.gate,7,0.22180843
input_transformers.layers.7.ffn.gate,0,0.023122977
input_transformers.layers.7.ffn.gate,1,0.22964287
input_transformers.layers.7.ffn.gate,2,0.14614795
input_transformers.layers.7.ffn.gate,3,0.0328829
input_transformers.layers.7.ffn.gate,4,0.07134703
input_transformers.layers.7.ffn.gate,5,0.112056
input_transformers.layers.7.ffn.gate,6,0.16246164
input_transformers.layers.7.ffn.gate,7,0.2223386
input_transformers.layers.8.ffn.gate,0,0.12137677
input_transformers.layers.8.ffn.gate,1,0.0331867
input_transformers.layers.8.ffn.gate,2,0.0854051
input_transformers.layers.8.ffn.gate,3,0.22503012
input_transformers.layers.8.ffn.gate,4,0.09115232
input_transformers.layers.8.ffn.gate,5,0.045699354
input_transformers.layers.8.ffn.gate,6,0.15903446
input_transformers.layers.8.ffn.gate,7,0.2391152
input_transformers.layers.9.ffn.gate,0,0.26306844
input_transformers.layers.9.ffn.gate,1,0.11144161
input_transformers.layers.9.ffn.gate,2,0.083502375
input_transformers.layers.9.ffn.gate,3,0.18344899
input_transformers.layers.9.ffn.gate,4,0.05573045
input_transformers.layers.9.ffn.gate,5,0.11364366
input_transformers.layers.9.ffn.gate,6,0.10231084
input_transformers.layers.9.ffn.gate,7,0.08685366
input_transformers.layers.10.ffn.gate,0,0.017521337
input_transformers.layers.10.ffn.gate,1,0.12552607
input_transformers.layers.10.ffn.gate,2,0.08078779
input_transformers.layers.10.ffn.gate,3,0.1679679
input_transformers.layers.10.ffn.gate,4,0.1179398
input_transformers.layers.10.ffn.gate,5,0.16335876
input_transformers.layers.10.ffn.gate,6,0.109222904
input_transformers.layers.10.ffn.gate,7,0.21767546
input_transformers.layers.11.ffn.gate,0,0.053456746
input_transformers.layers.11.ffn.gate,1,0.13173091
input_transformers.layers.11.ffn.gate,2,0.021141186
input_transformers.layers.11.ffn.gate,3,0.117652655
input_transformers.layers.11.ffn.gate,4,0.2290601
input_transformers.layers.11.ffn.gate,5,0.17022155
input_transformers.layers.11.ffn.gate,6,0.19499151
input_transformers.layers.11.ffn.gate,7,0.081745334
