train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.061928935,0.22741117,0.03756345,0.1532995,0.098477155,0.20203045,0.16345178,0.055837564
100,1,0.039014373,0.18377824,0.031827517,0.18788502,0.100616015,0.17043121,0.22997947,0.056468174
200,2,0.041666668,0.1384804,0.031862747,0.22794117,0.09191176,0.09191176,0.27450982,0.101715684
300,3,0.04357067,0.12327311,0.020191286,0.06269926,0.23804463,0.20085016,0.23804463,0.073326245
400,4,0.039488968,0.14401859,0.020905923,0.11033682,0.2601626,0.09175377,0.2601626,0.07317073
500,5,0.048919227,0.13651878,0.02844141,0.09556314,0.25483504,0.12286689,0.22866894,0.08418658
600,6,0.04040404,0.17845118,0.053872053,0.11335578,0.2514029,0.121212125,0.116722785,0.124579124
700,7,0.041450776,0.09196891,0.020725388,0.07253886,0.29015544,0.20336787,0.22020726,0.059585493
800,8,0.070938215,0.12700228,0.014874142,0.09267735,0.2562929,0.16475973,0.19908467,0.07437071
900,9,0.037162162,0.13513513,0.018018018,0.13626125,0.25225225,0.24662162,0.09009009,0.08445946
1000,10,0.060606062,0.12012987,0.015151516,0.1504329,0.24242425,0.1482684,0.19372295,0.06926407
1100,11,0.052747253,0.071428575,0.015384615,0.13406594,0.24615385,0.16263737,0.24615385,0.071428575
1200,12,0.041811846,0.09059233,0.006968641,0.114982575,0.2601626,0.15447155,0.2601626,0.070847854
1300,13,0.059158135,0.1149033,0.018202502,0.12627986,0.25483504,0.18088737,0.16382253,0.081911266
1400,14,0.07718894,0.10023042,0.013824885,0.08410138,0.2580645,0.23502304,0.15092166,0.08064516
1500,15,0.07159091,0.13068181,0.020454545,0.09090909,0.25454545,0.19090909,0.13409092,0.106818184
1600,16,0.07622298,0.13765642,0.017064847,0.100113764,0.25483504,0.21274175,0.11376564,0.087599546
1700,17,0.06882169,0.11887383,0.00729927,0.12200209,0.23357664,0.17622523,0.16788322,0.10531804
1800,18,0.042986427,0.13235295,0.009049774,0.05995475,0.25339368,0.15723982,0.25339368,0.09162896
