train_step,log_step_index,expert_0,expert_1
0,0,0.53027344,0.46972656
100,1,0.14550781,0.8544922
200,2,0.125,0.875
300,3,0.14453125,0.85546875
400,4,0.12070657,0.87929344
500,5,0.15039062,0.8496094
600,6,0.104,0.896
700,7,0.09403438,0.9059656
800,8,0.107569724,0.8924303
900,9,0.15332031,0.8466797
1000,10,0.11897738,0.88102263
1100,11,0.11462451,0.8853755
1200,12,0.11462451,0.8853755
1300,13,0.13378906,0.86621094
1400,14,0.12414467,0.8758553
1500,15,0.12695312,0.8730469
1600,16,0.13574219,0.8642578
1700,17,0.14257812,0.8574219
1800,18,0.13769531,0.8623047
