layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.20314068
input_transformers.layers.0.ffn.gate,1,0.22822776
input_transformers.layers.0.ffn.gate,2,0.13380785
input_transformers.layers.0.ffn.gate,3,0.4348237
input_transformers.layers.1.ffn.gate,0,0.42708617
input_transformers.layers.1.ffn.gate,1,0.2944139
input_transformers.layers.1.ffn.gate,2,0.13105159
input_transformers.layers.1.ffn.gate,3,0.14744835
input_transformers.layers.2.ffn.gate,0,0.26769486
input_transformers.layers.2.ffn.gate,1,0.07002503
input_transformers.layers.2.ffn.gate,2,0.22648023
input_transformers.layers.2.ffn.gate,3,0.4357999
input_transformers.layers.3.ffn.gate,0,0.5328965
input_transformers.layers.3.ffn.gate,1,0.037269454
input_transformers.layers.3.ffn.gate,2,0.112257354
input_transformers.layers.3.ffn.gate,3,0.31757665
input_transformers.layers.4.ffn.gate,0,0.11575734
input_transformers.layers.4.ffn.gate,1,0.07526144
input_transformers.layers.4.ffn.gate,2,0.71984226
input_transformers.layers.4.ffn.gate,3,0.08913902
input_transformers.layers.5.ffn.gate,0,0.11400969
input_transformers.layers.5.ffn.gate,1,0.044565544
input_transformers.layers.5.ffn.gate,2,0.80466163
input_transformers.layers.5.ffn.gate,3,0.03676312
input_transformers.layers.6.ffn.gate,0,0.29933113
input_transformers.layers.6.ffn.gate,1,0.073721945
input_transformers.layers.6.ffn.gate,2,0.3082613
input_transformers.layers.6.ffn.gate,3,0.31868562
input_transformers.layers.7.ffn.gate,0,0.34708115
input_transformers.layers.7.ffn.gate,1,0.08772144
input_transformers.layers.7.ffn.gate,2,0.12339961
input_transformers.layers.7.ffn.gate,3,0.44179776
input_transformers.layers.8.ffn.gate,0,0.042519625
input_transformers.layers.8.ffn.gate,1,0.7437301
input_transformers.layers.8.ffn.gate,2,0.06516766
input_transformers.layers.8.ffn.gate,3,0.14858264
input_transformers.layers.9.ffn.gate,0,0.046847153
input_transformers.layers.9.ffn.gate,1,0.09431861
input_transformers.layers.9.ffn.gate,2,0.8147599
input_transformers.layers.9.ffn.gate,3,0.04407436
input_transformers.layers.10.ffn.gate,0,0.056395732
input_transformers.layers.10.ffn.gate,1,0.11142703
input_transformers.layers.10.ffn.gate,2,0.7329687
input_transformers.layers.10.ffn.gate,3,0.09920863
input_transformers.layers.11.ffn.gate,0,0.7430702
input_transformers.layers.11.ffn.gate,1,0.039436847
input_transformers.layers.11.ffn.gate,2,0.17290032
input_transformers.layers.11.ffn.gate,3,0.04459263
