train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.30078125,0.16113281,0.24511719,0.29296875
100,1,0.20898438,0.24023438,0.171875,0.37890625
200,2,0.1903353,0.21005917,0.15779093,0.4418146
300,3,0.19032598,0.22607781,0.11251315,0.47108307
400,4,0.18059856,0.25799793,0.099071205,0.4623323
500,5,0.19095477,0.23115578,0.12763819,0.45025125
600,6,0.20889348,0.2057911,0.12202689,0.46328852
700,7,0.21661721,0.22551928,0.11473788,0.4431256
800,8,0.18522485,0.22591007,0.10920771,0.47965738
900,9,0.21875,0.22851562,0.13476562,0.41796875
1000,10,0.20800781,0.21875,0.15136719,0.421875
1100,11,0.20158888,0.23435949,0.11916584,0.4448858
1200,12,0.15867944,0.24707136,0.1171459,0.4771033
1300,13,0.2201382,0.22309971,0.114511356,0.44225073
1400,14,0.20703125,0.20703125,0.15917969,0.4267578
1500,15,0.1932271,0.24601594,0.114541836,0.44621515
1600,16,0.19313726,0.24411765,0.12352941,0.4392157
1700,17,0.1783894,0.26911315,0.09582059,0.45667687
1800,18,0.20800781,0.234375,0.15234375,0.40527344
