train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.0,0.11111111,0.03050109,0.0,0.29847494,0.06753813,0.48801744,0.0043572984
100,1,0.043010753,0.05645161,0.12634408,0.05645161,0.005376344,0.07258064,0.60215056,0.03763441
200,2,0.014450867,0.07225434,0.1300578,0.057803467,0.0,0.028901733,0.6473988,0.049132947
300,3,0.016574586,0.08287293,0.15745856,0.046961326,0.022099448,0.03038674,0.61878455,0.024861878
400,4,0.008797654,0.1085044,0.11143695,0.04398827,0.008797654,0.035190616,0.6568915,0.026392963
500,5,0.015957447,0.09042553,0.14361702,0.069148935,0.010638298,0.050531916,0.59574467,0.023936171
600,6,0.00887574,0.09467456,0.14201184,0.03846154,0.00295858,0.020710059,0.6627219,0.0295858
700,7,0.0121951215,0.05487805,0.12195122,0.039634146,0.0121951215,0.036585364,0.68292683,0.039634146
800,8,0.023809524,0.029761905,0.13690476,0.038690478,0.008928572,0.04761905,0.6666667,0.04761905
900,9,0.015584416,0.064935066,0.16363636,0.067532465,0.02077922,0.051948052,0.58181816,0.033766232
1000,10,0.002915452,0.072886296,0.116618074,0.052478135,0.014577259,0.03206997,0.6530612,0.055393588
1100,11,0.00882353,0.064705886,0.11176471,0.04411765,0.011764706,0.03529412,0.65882355,0.064705886
1200,12,0.018518519,0.06790123,0.11111111,0.040123455,0.0,0.021604938,0.69135803,0.049382716
1300,13,0.011976048,0.065868266,0.11077844,0.04491018,0.005988024,0.035928145,0.6706587,0.053892214
1400,14,0.012158055,0.079027355,0.09726444,0.036474165,0.009118541,0.036474165,0.68085104,0.04863222
1500,15,0.0,0.06109325,0.09967846,0.03858521,0.0,0.019292604,0.7202572,0.06109325
1600,16,0.0,0.10662824,0.12103746,0.043227665,0.017291067,0.0259366,0.64553314,0.04034582
1700,17,0.009036144,0.072289154,0.11746988,0.030120483,0.006024096,0.036144577,0.67469877,0.05421687
1800,18,0.012121212,0.084848486,0.10909091,0.03939394,0.003030303,0.027272727,0.6787879,0.045454547
