step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.1680667400360107,-14.713197,
2,3.423689365386963,-14.682986,
3,4.673387289047241,-14.081623,
4,5.922085285186768,-12.4908495,
5,7.176326036453247,-10.108303,
6,8.429409980773926,-7.347782,
7,9.68294620513916,-4.170661,
8,10.943040370941162,-1.6374032,
9,12.199760913848877,-1.1977373,
10,13.461057424545288,-1.4012642,
11,14.710638284683228,-1.7661161,
12,15.962973833084106,-2.226479,
13,17.213606595993042,-2.5035179,
14,18.46119236946106,-2.693335,
15,19.701337337493896,-2.9443517,
16,20.929744958877563,-3.0214052,
17,22.149634838104248,-3.1782608,
18,23.364517211914062,-3.4072776,
19,24.55282425880432,-3.6296654,
20,25.730175495147705,-3.9826105,
21,26.90093731880188,-4.1973953,
22,28.056277751922607,-3.4953184,
23,29.192269325256348,-4.026905,
24,30.311190366744995,-4.487854,
25,31.415263414382935,-4.0702333,
26,32.51560354232788,-4.9183884,
27,33.60279631614685,-4.4678216,
28,34.68548321723938,-4.8978434,
29,35.765469789505005,-4.5877185,
30,36.84659194946289,-4.576946,
31,37.93389654159546,-4.9465466,
32,39.021750926971436,-4.3738284,
33,40.101967096328735,-4.8707266,
34,41.18197154998779,-5.393998,
35,42.25862503051758,-5.3595552,
36,43.32781624794006,-5.269992,
37,44.39623522758484,-5.1441536,
38,45.46383547782898,-5.3221884,
39,46.526352882385254,-5.2662997,
40,47.58935236930847,-5.3534784,
41,48.65024995803833,-5.132968,
42,49.71264719963074,-6.1420994,
43,50.77468943595886,-5.6440506,
44,51.83189630508423,-5.223377,
45,52.8878276348114,-5.28973,
46,53.95024633407593,-5.5332947,
47,55.008392333984375,-5.283226,
48,56.070894956588745,-5.654412,
49,57.132197856903076,-5.15747,
50,58.19050192832947,-5.1572304,
51,59.252885580062866,-5.5635223,
52,60.311248779296875,-5.3050137,
53,61.371480226516724,-5.2751017,
54,62.43274426460266,-5.111704,
55,63.487969398498535,-4.7283144,
56,64.54668998718262,-4.972081,
57,65.60299324989319,-5.253873,
58,66.66392946243286,-4.946883,
59,67.71644163131714,-5.455869,
60,68.77133464813232,-6.0386276,
61,69.82213425636292,-5.1657186,
62,70.87650084495544,-4.980073,
63,71.92950987815857,-5.1793184,
64,72.97952270507812,-4.9390407,
65,74.0342378616333,-5.371557,
66,75.08704876899719,-6.0107446,
67,76.14521932601929,-4.9543743,
68,77.20007634162903,-5.049145,
69,78.25277161598206,-5.023239,
70,79.30410599708557,-6.0552874,
71,80.35891938209534,-5.379664,
72,81.41646552085876,-6.0685253,
73,82.47641897201538,-5.251282,
74,83.53229665756226,-4.6868896,
75,84.59072017669678,-5.1327524,
76,85.65023303031921,-5.651876,
77,86.70770502090454,-5.291046,
78,87.76488590240479,-4.9473724,
79,88.82514595985413,-5.1031494,
80,89.88875198364258,-5.343734,
81,90.95289921760559,-4.7399855,
82,92.01572227478027,-4.98923,
83,93.07992601394653,-5.7289376,
84,94.15056276321411,-5.374382,
85,95.22343134880066,-4.8287907,
86,96.29787468910217,-5.026128,
87,97.36924958229065,-4.8451986,
88,98.43826007843018,-5.2536697,
89,99.5121431350708,-5.4362693,
90,100.58909440040588,-5.2594414,
91,101.66672968864441,-4.5846224,
92,102.74102282524109,-4.5081234,
93,103.81968688964844,-5.0676208,
94,104.89890384674072,-4.4977365,
95,105.97831177711487,-4.6371875,
96,107.06930327415466,-4.976743,
97,108.16691279411316,-3.9119678,
98,109.29583430290222,-4.130024,
99,110.45398473739624,-3.179325,
100,112.77774620056152,-3.0742917,
101,113.9669258594513,-4.4386644,
102,115.14607954025269,-3.1376317,
103,116.32605934143066,-1.6347566,
104,117.51293611526489,-1.8019978,
105,118.7108736038208,-2.0761766,
106,119.92778754234314,-2.2015471,
107,121.15740752220154,-2.2216582,
108,122.39183950424194,-1.8284453,
109,123.62764930725098,-1.8050275,
110,124.87039566040039,-1.4516664,
111,126.1090955734253,-2.4869623,
112,127.34492516517639,-1.6286411,
113,128.5744206905365,-1.5014013,
114,129.8148741722107,-2.0960813,
115,131.06258010864258,-1.5653485,
116,132.30519032478333,-1.6686125,
117,133.54087162017822,-1.5699433,
118,134.76886010169983,-1.3701713,
119,135.9945845603943,-2.0503485,
120,137.21300411224365,-1.002383,
121,138.43120336532593,-0.9872234,
122,139.6627495288849,-2.109705,
123,140.89936566352844,-1.245486,
124,142.13489699363708,-1.5285103,
125,143.37240624427795,-1.0172647,
126,144.6085648536682,-1.380667,
127,145.85107612609863,-1.2123556,
128,147.09340739250183,-0.8202609,
129,148.3345286846161,-1.2011194,
130,149.58872056007385,-0.85084724,
131,150.85093879699707,-1.6107955,
132,152.1090121269226,-0.8209617,
133,153.37747526168823,-1.2284732,
134,154.64118027687073,-0.98667824,
135,155.91646933555603,-1.4433997,
136,157.18610167503357,-1.0709102,
137,158.46128940582275,-1.0030288,
138,159.74351382255554,-1.2082853,
139,161.01128959655762,-1.0401903,
140,162.28267574310303,-1.1725695,
141,163.5626516342163,-1.2463902,
142,164.84076046943665,-1.0622426,
143,166.11755561828613,-1.0527979,
144,167.40424704551697,-0.9185919,
145,168.69003176689148,-1.1274116,
146,169.97350788116455,-1.1743098,
147,171.2562096118927,-1.0218297,
148,172.53910303115845,-0.99518186,
149,173.82155632972717,-0.89851964,
150,175.1060926914215,-0.9279657,
151,176.3930504322052,-1.0795099,
152,177.68095183372498,-0.787103,
153,178.96818351745605,-1.0974313,
154,180.2589099407196,-1.0682942,
155,181.54864859580994,-0.8660049,
156,182.83717703819275,-1.0182319,
157,184.12629175186157,-0.97893065,
158,185.41495442390442,-1.0609205,
159,186.70659947395325,-0.98975635,
160,187.99532389640808,-0.7980953,
161,189.28609776496887,-0.70262504,
162,190.57719326019287,-1.0367494,
163,191.8655707836151,-0.9380475,
164,193.15397214889526,-0.8734181,
165,194.44445896148682,-0.68295515,
166,195.73437476158142,-0.7035159,
167,197.02571296691895,-0.7291436,
168,198.31603479385376,-0.73808277,
169,199.60575580596924,-0.9504553,
170,200.89449262619019,-0.9632878,
171,202.18295812606812,-0.7619115,
172,203.47310614585876,-0.92195326,
173,204.75980758666992,-1.4930625,
174,206.04670977592468,-0.91371125,
175,207.33472990989685,-0.7026813,
176,208.62300038337708,-0.74902534,
177,209.90814661979675,-0.6404534,
178,211.19575810432434,-0.7958431,
179,212.48657274246216,-0.7013177,
180,213.77557349205017,-1.1359563,
181,215.06260204315186,-0.7813597,
182,216.3536479473114,-0.77454007,
183,217.6433184146881,-0.68455213,
184,218.93204474449158,-0.83516693,
185,220.22544026374817,-0.5921297,
186,221.51822018623352,-0.5203296,
187,222.80966329574585,-0.6839627,
188,224.10198664665222,-0.801004,
189,225.39450788497925,-0.9382305,
190,226.68437314033508,-0.6816774,
191,227.97540163993835,-0.7041693,
192,229.2647316455841,-0.5800239,
193,230.5525724887848,-0.781543,
194,231.84102511405945,-0.5097883,
195,233.12868785858154,-0.6570078,
196,234.4207639694214,-0.5085094,
197,235.70751953125,-0.66814935,
198,236.99674248695374,-0.9262798,
199,238.2845013141632,-0.698499,
200,240.72114610671997,-0.6393775,
201,242.01143193244934,-0.83667123,
202,243.3006730079651,-0.7470602,
203,244.5899133682251,-0.686127,
204,245.87980771064758,-0.87997735,
205,247.16923189163208,-0.7554391,
206,248.45886898040771,-0.57185274,
