step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,29.409246921539307,-14.659581,
2,30.68721604347229,-14.37199,
3,31.945345401763916,-13.71306,
4,33.19857454299927,-12.630211,
5,34.65853261947632,-10.277332,
6,35.92292022705078,-7.5273046,
7,37.1859872341156,-4.345995,
8,38.460638761520386,-1.863729,
9,39.91561412811279,-1.0228665,
10,41.179468631744385,-1.3030688,
11,42.433125019073486,-1.6629512,
12,43.68469715118408,-1.899625,
13,44.935994148254395,-2.0690637,
14,45.32631540298462,-2.120828,
15,47.06881046295166,-2.4915056,
16,48.31597304344177,-2.6528363,
17,49.56234049797058,-2.9057212,
18,50.80372977256775,-3.1173563,
19,52.021974325180054,-2.97769,
20,53.22923970222473,-3.2664819,
21,54.4331476688385,-3.6805172,
22,55.63370895385742,-3.9651318,
23,56.79421639442444,-3.5755801,
24,57.949939012527466,-3.9513159,
25,59.09360980987549,-4.2460027,
26,60.226104736328125,-4.275284,
27,61.3563597202301,-4.12298,
28,61.706955671310425,-3.9282832,
29,63.3014657497406,-4.232559,
30,64.41854619979858,-4.286167,
31,65.54281616210938,-4.4360685,
32,66.6754162311554,-4.609063,
33,67.82767057418823,-4.289446,
34,68.97389435768127,-4.6213307,
35,70.10269117355347,-5.094549,
36,71.21446633338928,-5.359593,
37,72.32224011421204,-4.7363057,
38,73.4386420249939,-5.172011,
39,74.53625702857971,-5.412365,
40,75.63996529579163,-5.2926064,
41,76.73070621490479,-4.959398,
42,77.07803344726562,-4.5980873,
43,78.65975761413574,-4.749219,
44,79.77533268928528,-4.647754,
45,80.88738226890564,-4.7160845,
46,82.00169467926025,-4.8195505,
47,83.11202788352966,-4.3817277,
48,84.20514249801636,-4.645691,
49,85.30482053756714,-5.0574656,
50,86.39481019973755,-5.212579,
51,87.48869943618774,-4.54366,
52,88.58373141288757,-4.9613085,
53,89.69143104553223,-5.0810666,
54,90.81370210647583,-5.0112004,
55,91.94065976142883,-4.757195,
56,92.29365921020508,-4.1789,
57,94.12099266052246,-3.9804478,
58,95.29304909706116,-3.6084008,
59,96.47155261039734,-2.157476,
60,97.66156196594238,-3.006188,
61,98.85696458816528,-2.3370578,
62,100.04481625556946,-1.4407794,
63,101.24150848388672,-1.477164,
64,102.44559025764465,-1.5832262,
65,103.65182733535767,-0.8604574,
66,104.87063789367676,-0.9598181,
67,106.09934210777283,-0.9111306,
68,107.33132863044739,-0.93048084,
69,108.57028484344482,-0.9519102,
70,108.94322538375854,-0.7775372,
71,110.61994981765747,-1.062289,
72,111.85047268867493,-0.9871014,
73,113.09203457832336,-1.1186459,
74,114.32740378379822,-1.2858123,
75,115.5688054561615,-0.86102176,
76,116.83388829231262,-0.92539334,
77,118.0913245677948,-1.2210281,
78,119.38029932975769,-1.2425907,
79,120.66151261329651,-0.7578723,
80,121.93908977508545,-1.0366808,
81,123.20610237121582,-1.0456479,
82,124.47163105010986,-1.1021398,
83,125.732257604599,-1.0657893,
84,126.1106584072113,-0.5436897,
85,127.85342693328857,-1.0630752,
86,129.12897634506226,-0.91991216,
87,130.3884572982788,-0.935229,
88,131.65899348258972,-1.2475381,
89,132.92724227905273,-0.9540841,
90,134.19299459457397,-0.9101397,
91,135.47346544265747,-1.0357547,
92,136.7588973045349,-1.2477782,
93,138.03760695457458,-0.82674277,
94,139.31640648841858,-0.9124567,
95,140.6099715232849,-0.9857788,
96,141.8849720954895,-0.8570591,
97,143.17266178131104,-0.7727365,
98,143.5568242073059,-0.9590676,
99,145.32116961479187,-0.92972857,
100,148.46790647506714,-0.87951523,
101,149.75206303596497,-0.66516346,
102,151.04819130897522,-0.85668534,
103,152.33296418190002,-1.0224328,
104,153.61242055892944,-0.7148464,
105,154.9047088623047,-1.065396,
106,156.21537852287292,-1.319033,
107,157.51354932785034,-0.6518552,
108,158.8195357322693,-0.80326957,
109,160.1167347431183,-0.6978471,
110,161.4163112640381,-1.0270263,
111,162.70016980171204,-0.8249546,
112,163.09039640426636,-0.5025752,
113,164.87148189544678,-0.8135648,
114,166.18018531799316,-0.750142,
115,167.48525953292847,-0.7482488,
116,168.77469515800476,-0.7045546,
117,170.07554388046265,-0.74706894,
118,171.37553358078003,-0.7341524,
119,172.67707705497742,-1.2874284,
120,173.98871755599976,-1.0074242,
121,175.28906226158142,-1.0489031,
122,176.58880972862244,-0.8876217,
123,177.88046145439148,-0.8257359,
124,179.17717123031616,-0.94632983,
125,180.48390412330627,-0.6411305,
126,180.87761878967285,-0.6964291,
127,182.6634180545807,-0.7179587,
128,183.95562100410461,-0.77181756,
129,185.24689269065857,-0.79835176,
130,186.53258991241455,-0.5200897,
131,187.82621836662292,-0.6252291,
132,189.11504411697388,-0.57537514,
133,190.42208671569824,-1.0998179,
134,191.72657918930054,-1.2500479,
135,193.02914309501648,-0.7282157,
136,194.3315863609314,-0.618479,
137,195.63723039627075,-0.6284957,
138,196.94601607322693,-0.55180115,
139,198.245441198349,-0.7271345,
140,198.63346934318542,-0.3353228,
141,200.42175817489624,-0.7635757,
142,201.7198429107666,-0.6413496,
143,203.01285934448242,-0.6580528,
144,204.3109486103058,-0.89303386,
145,205.61846590042114,-0.55700207,
146,206.92919063568115,-0.55684525,
147,208.28673577308655,-0.59935427,
148,209.6230206489563,-0.8141563,
149,210.96778059005737,-0.761569,
150,212.27118062973022,-0.73204815,
151,213.5967879295349,-0.61400956,
152,214.89915537834167,-0.57001084,
153,216.23334884643555,-0.64256394,
154,216.63618683815002,-0.2646924,
155,218.45084953308105,-0.53204525,
156,219.74682807922363,-0.6802001,
157,221.0540828704834,-0.6398145,
158,222.36294531822205,-0.76899314,
159,223.69653964042664,-0.7337885,
160,225.00647020339966,-0.50454164,
161,226.3112506866455,-0.5826304,
162,227.60991168022156,-0.91901094,
163,228.94556164741516,-0.74198437,
164,230.2705113887787,-0.80687565,
165,231.5874092578888,-0.6450164,
166,232.8902382850647,-0.51811916,
167,234.18617153167725,-0.5000581,
168,234.58466458320618,-0.99733025,
169,236.3754279613495,-0.75409865,
170,237.68902206420898,-0.69778526,
171,238.99144172668457,-0.5651304,
172,240.3114790916443,-0.62333715,
173,241.61799883842468,-0.5482935,
174,242.91647934913635,-0.48691264,
175,244.21531105041504,-0.65544635,
176,245.52166414260864,-0.51191556,
177,246.82891821861267,-0.6055063,
178,248.13055229187012,-0.46750888,
