train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.18609865,0.051569507,0.71748877,0.044843048
100,1,0.76372313,0.06443914,0.08830549,0.08353222
200,2,0.802005,0.06265664,0.10526316,0.030075189
300,3,0.8226221,0.059125964,0.079691514,0.038560413
400,4,0.83116883,0.05974026,0.07012987,0.038961038
500,5,0.81424934,0.03562341,0.091603056,0.058524173
600,6,0.8,0.07,0.11,0.02
700,7,0.81632656,0.05357143,0.094387755,0.035714287
800,8,0.78624076,0.056511056,0.11793612,0.03931204
900,9,0.81841433,0.05882353,0.099744245,0.023017902
1000,10,0.8333333,0.033854168,0.109375,0.0234375
1100,11,0.8488064,0.042440318,0.06896552,0.0397878
1200,12,0.81424934,0.027989822,0.12722646,0.030534351
1300,13,0.81632656,0.06122449,0.091836736,0.030612245
1400,14,0.82051283,0.035897437,0.10769231,0.035897437
1500,15,0.8121827,0.04822335,0.10913706,0.030456852
1600,16,0.83116883,0.04935065,0.0987013,0.02077922
1700,17,0.8355091,0.028720627,0.11749347,0.018276762
1800,18,0.8355091,0.033942558,0.09921671,0.03133159
